Vessel_16	376670	4	25	11	28	115.4777777778	-67.4227	41.8742	1	nan	69	9	0.167	6.67	0	2019
Vessel_16	376670	4	26	7	33	116.3145833333	-67.5256	42.1186	1	nan	61	10	15.067	6.72	0.04	2019
Vessel_16	376670	4	29	13	13	119.5506944444	-70.9125	41.6322	1	nan	174	16	4.233	8.03	0.77	2019
Vessel_16	376670	5	3	0	19	123.0131944444	-69.0551	41.5357	1	nan	153	19	1.067	5.41	0.04	2019
Vessel_16	376670	5	4	12	16	124.5111111111	-68.681	41.6136	1	nan	62	9	0.733	7.34	0	2019
Vessel_16	376670	5	5	10	42	125.4458333333	-69.17	41.5246	1	nan	157	26	2.017	7.31	0.73	2019
Vessel_16	376670	5	13	10	32	133.4388888889	-69.0932	41.3139	1	nan	149	24	16.35	5.57	0.06	2019
Vessel_16	376670	6	1	10	14	152.4263888889	-67.3464	41.9938	1	nan	50	8	10.617	9.27	0.11	2019
Vessel_16	376670	6	2	6	2	153.2513888889	-67.414	41.8193	1	nan	51	8	8.267	9.32	0.12	2019
Vessel_16	376670	6	2	23	29	153.9784722222	-67.4303	41.8662	1	nan	62	10	0.383	9.32	0.01	2019
Vessel_16	376670	6	4	16	1	155.6673611111	-69.1068	41.2859	1	nan	146	18	2.933	5.26	0.15	2019
Vessel_17	992810	4	2	23	3	92.9604166667	-71.5772	41.0596	1	nan	41	6	1.925	6.7	0.07	2019
Vessel_17	992810	4	7	6	50	97.2847222222	-71.1362	40.2623	1	nan	98	2	0.875	12.48	0.1	2019
Vessel_17	992810	4	17	22	10	107.9236111111	-71.623	41.0776	1	nan	38	6	1.8	5.97	0.3	2019
Vessel_17	992810	4	17	23	29	107.9784722222	-71.6347	41.0816	1	nan	39	3	0.75	5.77	0.03	2019
Vessel_17	992810	4	28	21	0	118.875	-71.5794	41.3104	1	nan	34	0	0.025	7.24	0	2019
Vessel_17	992810	5	4	12	42	124.5291666667	-71.6233	41.3015	1	nan	34	5	2.025	7.33	0.12	2019
Vessel_17	992810	5	7	11	4	127.4611111111	-71.4498	41.3875	1	nan	25	4	0.95	9.39	0.12	2019
Vessel_17	992810	5	24	14	41	144.6118055556	-71.593	41.3523	1	nan	22	3	0.5	9.56	0.23	2019
Vessel_17	992810	5	29	11	38	149.4847222222	-71.6751	41.3165	1	nan	23	4	1.925	12	1.2	2019
Vessel_17	992810	6	2	17	50	153.7430555556	-71.7433	41.3109	1	nan	23	4	0.1	12.41	0.1	2019
Vessel_17	992810	6	3	13	41	154.5701388889	-71.7485	41.3118	1	nan	21	1	0.05	11.5	0.01	2019
Vessel_17	992810	6	5	15	3	156.6270833333	-71.7569	41.3137	1	nan	19	3	1.875	11.88	0.09	2019
Vessel_17	992810	6	9	12	56	160.5388888889	-71.749	41.311	1	nan	20	3	1.1	13.07	0.12	2019
Vessel_17	992810	6	12	11	46	163.4902777778	-71.4476	41.3903	1	nan	24	4	1.95	13.47	0.21	2019
Vessel_17	992810	6	18	12	4	169.5027777778	-71.7285	41.3164	1	nan	20	2	0.725	14.61	0.06	2019
Vessel_17	992810	6	18	14	33	169.60625	-71.5979	41.3386	1	nan	21	3	0.65	14.58	0.16	2019
Vessel_17	992810	6	19	12	0	170.5	-71.6757	41.3158	1	nan	25	4	0.15	14.63	0.02	2019
Vessel_17	992810	6	19	14	19	170.5965277778	-71.7669	41.3091	1	nan	19	3	1.9	14.75	0.2	2019
Vessel_17	992810	6	19	16	20	170.6805555556	-71.594	41.3406	1	nan	24	2	0.15	14.33	0.16	2019
Vessel_17	992810	6	22	12	52	173.5361111111	-71.6763	41.3152	1	nan	25	4	0.375	14.58	0.08	2019
Vessel_17	992810	6	26	18	20	177.7638888889	-71.6674	41.3165	1	nan	27	4	0.2	13.71	0.07	2019
Vessel_17	992810	6	29	20	3	180.8354166667	-71.4463	41.3933	1	nan	24	4	1.5	14.44	0.2	2019
Vessel_17	992810	7	1	22	3	182.91875	-71.7281	41.3119	1	nan	28	4	0.175	14.66	0.18	2019
Vessel_17	992810	7	6	13	20	187.5555555556	-71.7398	41.3041	1	nan	29	4	0.275	15.52	0.03	2019
Vessel_17	992810	7	6	15	45	187.65625	-71.5128	41.3818	1	nan	25	1	0.925	15.52	0.24	2019
Vessel_17	992810	7	11	13	39	192.56875	-71.79	41.302	1	nan	23	1	0.125	16.55	0.09	2019
Vessel_17	992810	7	13	12	12	194.5083333333	-71.7549	41.3059	1	nan	26	4	2.45	15.57	0.27	2019
Vessel_17	992810	7	15	13	5	196.5451388889	-71.7196	41.3107	1	nan	27	4	2.2	15.33	0.23	2019
Vessel_17	992810	7	16	11	53	197.4951388889	-71.6766	41.3153	1	nan	26	4	0.325	15.13	0.02	2019
Vessel_17	992810	7	18	13	16	199.5527777778	-71.7382	41.3096	1	nan	24	4	3.125	15.26	0.78	2019
Vessel_17	992810	7	18	15	49	199.6590277778	-71.5944	41.3325	1	nan	24	4	1.2	15.04	0.27	2019
Vessel_17	992810	7	19	18	11	200.7576388889	-71.5752	41.3278	1	nan	29	5	0.2	15.5	0.08	2019
Vessel_17	992810	7	20	12	5	201.5034722222	-71.6825	41.3152	1	nan	25	4	0.475	16	0.54	2019
Vessel_17	992810	7	23	17	27	204.7270833333	-71.7385	41.3103	1	nan	28	0	0.025	14.51	0	2019
Vessel_17	992810	7	26	16	46	207.6986111111	-71.8189	41.2986	1	nan	26	4	1.625	16.04	0.3	2019
Vessel_17	992810	7	29	12	23	210.5159722222	-71.751	41.3077	1	nan	26	4	2.375	16.03	0.53	2019
Vessel_17	992810	7	31	13	12	212.55	-71.7525	41.3096	1	nan	23	4	2.35	15.14	0.8	2019
